estacao;linha;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12
Jabaquara;1;46;48;40;39;45;46;48;51;55;57;61;59
Conceição ;1;15;16;12;12;14;15;15;16;18;19;20;19
São Judas ;1;9;9;7;7;8;9;9;10;10;11;12;11
Saúde ;1;16;17;13;13;15;16;16;18;19;20;21;20
Praça da Árvore ;1;9;10;8;8;9;9;10;11;11;12;13;12
Santa Cruz;1;60;65;52;50;58;61;63;68;72;76;81;77
Vila Mariana ;1;10;10;8;8;9;10;10;11;13;13;14;12
Ana Rosa¹;1;40;43;35;33;39;41;42;47;51;53;57;53
Paraíso¹;1;49;53;43;42;48;50;52;58;62;65;69;65
Vergueiro ;1;15;17;14;13;15;16;15;17;18;19;20;18
São Joaquim ;1;12;14;12;11;13;14;13;15;17;18;18;15
Japão-Liberdade ;1;12;12;9;9;11;12;12;13;14;15;16;16
Sé2;1;119;125;100;96;111;116;119;127;136;142;151;144
São Bento;1;36;36;23;23;31;33;36;36;39;43;46;48
Luz;1;70;74;57;58;68;69;69;74;89;96;106;99
Tiradentes ;1;7;9;7;7;8;8;8;9;10;10;11;10
Armênia ;1;14;15;12;12;14;14;15;15;16;17;18;16
Portuguesa-Tietê ;1;31;29;23;22;26;27;29;31;34;36;41;41
Carandiru ;1;6;6;5;5;6;6;6;7;7;8;9;8
Santana ;1;33;35;28;27;32;32;33;36;39;40;43;40
Jardim São Paulo-Ayrton Senna;1;6;6;5;4;5;6;6;7;7;8;9;8
Parada Inglesa ;1;7;7;6;5;6;7;7;8;8;9;9;9
Tucuruvi ;1;36;37;30;29;34;35;36;40;42;44;47;45
Vila Prudente¹;2;40;43;36;35;40;40;44;49;53;54;58;54
Tamanduateí;2;36;36;35;36;40;43;43;47;50;53;50;53
Sacomã;2;23;25;21;20;23;24;25;27;29;30;32;30
Alto do Ipiranga ;2;9;10;8;8;9;9;10;11;12;13;14;13
Santos-Imigrantes ;2;8;8;7;7;8;8;8;9;10;10;11;10
Chácara Klabin ;2;40;43;37;35;40;43;43;48;51;54;58;54
Ana Rosa²;2;36;39;30;29;35;36;37;40;44;46;50;47
Paraíso²;2;38;40;32;31;36;37;38;41;45;47;51;48
Brigadeiro ;2;25;26;20;19;23;24;25;28;30;32;35;33
Trianon-Masp ;2;21;22;17;16;19;20;21;24;26;28;30;29
Consolação;2;49;53;40;38;44;47;50;55;60;64;70;65
Clínicas ;2;13;14;12;12;13;13;13;14;15;15;16;15
Santuário N.S. de Fátima-Sumaré ;2;5;5;4;4;4;5;5;5;6;6;7;6
Vila Madalena;2;10;11;9;8;9;10;10;12;13;13;15;13
Corinthians-Itaquera;3;54;56;46;45;52;53;53;58;60;62;66;66
Artur Alvim;3;37;39;32;32;36;37;38;41;43;45;48;45
Patriarca ;3;13;14;11;11;13;13;14;15;16;16;18;17
Guilhermina-Esperança ;3;13;13;11;11;12;13;13;14;15;16;17;16
Vila Matilde ;3;16;17;14;13;15;16;16;18;19;20;21;20
Penha ;3;18;19;15;15;17;18;18;20;22;22;24;22
Carrão ;3;26;28;23;22;25;26;27;30;32;33;36;32
Tatuapé;3;50;52;41;40;47;49;51;53;57;61;64;65
Belém ;3;25;27;23;22;24;25;25;27;28;29;31;29
Bresser-Moóca ;3;19;21;17;16;19;19;20;21;23;24;26;23
Brás;3;66;70;57;55;64;65;67;69;73;75;79;81
Pedro II ;3;13;14;12;11;12;13;13;14;14;15;16;14
Sé¹;3;123;129;101;98;116;121;124;135;146;155;166;157
Anhangabaú;3;32;33;26;25;29;31;32;35;37;39;42;38
República;3;72;76;58;56;67;70;73;79;84;89;96;90
Santa Cecília ;3;16;17;14;14;16;16;16;18;19;19;21;19
Marechal Deodoro ;3;18;19;16;15;17;17;18;20;21;22;23;21
Palmeiras-Barra Funda;3;95;101;82;78;87;90;94;100;108;115;123;118
Vila Prudente¹;15;31;31;27;26;29;28;35;38;41;42;45;41
Oratório;15;3;3;3;3;3;3;4;4;4;4;5;4
São Lucas;15;3;3;2;2;3;3;3;3;4;4;4;4
Camilo Haddad;15;2;2;2;2;2;2;2;2;3;3;3;3
Vila Tolstói;15;3;3;2;2;3;3;3;3;3;4;4;4
Vila União;15;3;4;3;3;3;3;4;4;4;4;5;4
Jardim Planalto;15;2;3;2;2;2;3;3;3;3;3;3;3
Sapopemba;15;5;5;4;4;5;5;5;6;6;6;7;6
Fazenda da Juta;15;2;2;2;2;2;2;2;3;3;3;3;3
São Mateus;15;11;12;11;10;12;12;13;14;14;15;16;15
Jardim Colonial;15;0;0;0;0;0;0;0;0;0;0;0;0
